epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
56,1080.68,1.27893,2.76323,0.79601,1.16165,0,0.91067,0.8,0.86965,0.49605,0.78757,0.69412,0.68112,0.19687,1.54861,2.93739,0.98948,1.36632,0,0.004555,0.004555,0.004555
57,1099.99,1.29583,2.72683,0.80754,1.19089,0,0.89892,0.83699,0.88817,0.50101,0.82211,0.70588,0.70099,0.22442,1.4877,2.8962,0.97015,1.37371,0,0.004456,0.004456,0.004456
58,1118.89,1.20233,2.60462,0.75713,1.13371,0,0.93223,0.80919,0.85068,0.48648,0.84118,0.69412,0.69454,0.24084,1.48749,2.96696,0.98381,1.38077,0,0.004357,0.004357,0.004357
59,1137.87,1.21022,2.65206,0.76991,1.13478,0,0.89132,0.77647,0.82264,0.45941,0.7123,0.61176,0.57452,0.18209,1.51779,3.12117,1.05304,1.34745,0,0.004258,0.004258,0.004258
60,1156.54,1.2059,2.66024,0.73945,1.12715,0,0.95587,0.76446,0.83329,0.48594,0.75695,0.62353,0.59754,0.19718,1.49943,3.07541,0.99905,1.32697,0,0.004159,0.004159,0.004159
61,1175.58,1.194,2.57407,0.6995,1.13519,0,0.90836,0.75294,0.79847,0.48042,0.79335,0.72268,0.69008,0.21487,1.44908,2.95238,1.01399,1.31615,0,0.00406,0.00406,0.00406
62,1194.8,1.18285,2.60905,0.73755,1.14042,0,0.91951,0.75294,0.80664,0.48212,0.81799,0.67059,0.65629,0.19835,1.53234,2.97912,1.01321,1.33865,0,0.003961,0.003961,0.003961
63,1213.81,1.25138,2.62132,0.74708,1.14143,0,0.86899,0.72941,0.81223,0.49537,0.83463,0.62353,0.67606,0.20577,1.46639,3.04548,1.00894,1.3318,0,0.003862,0.003862,0.003862
64,1233.02,1.16501,2.59734,0.71139,1.13326,0,0.91653,0.77511,0.85193,0.51594,0.82829,0.62425,0.67948,0.21473,1.49763,2.95702,0.94036,1.37726,0,0.003763,0.003763,0.003763
65,1252.64,1.225,2.61412,0.77232,1.15776,0,0.89257,0.78201,0.86283,0.52373,0.77171,0.67612,0.66858,0.21155,1.43473,2.91974,0.87878,1.3295,0,0.003664,0.003664,0.003664
66,1271.83,1.20185,2.52997,0.72789,1.12595,0,0.88666,0.77647,0.86514,0.50894,0.80593,0.70588,0.7428,0.22138,1.50372,2.86275,0.86517,1.36724,0,0.003565,0.003565,0.003565
67,1290.97,1.20141,2.59871,0.80764,1.11899,0,0.92768,0.81176,0.87277,0.49059,0.70466,0.6,0.58729,0.17622,1.51542,2.94633,0.92136,1.36851,0,0.003466,0.003466,0.003466
68,1310.01,1.15914,2.50391,0.69793,1.12032,0,0.89163,0.81176,0.86063,0.4799,0.7233,0.62353,0.59383,0.19065,1.59197,2.97602,0.96065,1.4281,0,0.003367,0.003367,0.003367
69,1329.46,1.26848,2.67718,0.74868,1.166,0,0.93968,0.81176,0.88023,0.50232,0.84317,0.72941,0.73072,0.23694,1.45238,2.82953,0.90645,1.34138,0,0.003268,0.003268,0.003268
70,1348.89,1.16549,2.49672,0.72146,1.11061,0,0.94504,0.80925,0.8858,0.49531,0.8307,0.70588,0.70059,0.21553,1.459,2.94407,0.903,1.33172,0,0.003169,0.003169,0.003169
71,1368.09,1.12794,2.5063,0.67285,1.10542,0,0.93082,0.76471,0.85684,0.48793,0.74423,0.63529,0.63367,0.18911,1.47062,3.01751,0.9349,1.32387,0,0.00307,0.00307,0.00307
72,1387.31,1.15845,2.57791,0.69772,1.11415,0,0.90512,0.78824,0.87421,0.49863,0.83679,0.65882,0.70036,0.223,1.46343,2.94473,0.89283,1.32208,0,0.002971,0.002971,0.002971
73,1406.09,1.17315,2.63829,0.65597,1.11206,0,0.93139,0.7985,0.88958,0.52298,0.81906,0.67059,0.69758,0.22256,1.41483,2.89264,0.87937,1.28782,0,0.002872,0.002872,0.002872
74,1425.13,1.12318,2.47221,0.68632,1.08806,0,0.92165,0.78824,0.87505,0.52636,0.82565,0.66858,0.68182,0.21464,1.39779,2.89912,0.87714,1.27644,0,0.002773,0.002773,0.002773
75,1444.27,1.14181,2.47407,0.67234,1.0943,0,0.92615,0.77647,0.86848,0.51929,0.84423,0.69412,0.72703,0.21484,1.4622,2.87841,0.87359,1.28186,0,0.002674,0.002674,0.002674
